Proceso,Mes,Ano,Presupuesto,Real
Proceso 11,5,2015,14461419,16608459
Proceso 11,6,2015,77800446,24785904
Proceso 11,7,2015,89014555,29687629
Proceso 11,8,2015,80154547,27169324
Proceso 11,9,2015,73314549,25383302
Proceso 11,10,2015,50828468,23803743
Proceso 11,11,2015,27854747,23129703
Proceso 11,12,2015,84027389,36914815
Proceso 12,1,2015,9162885,25671451
Proceso 12,2,2015,26280450,33318084
Proceso 12,3,2015,12278952,22411630
Proceso 12,4,2015,58548238,39867713
Proceso 12,5,2015,38556732,25771803
Proceso 12,6,2015,86740742,71450149
Proceso 12,7,2015,7454124,20243202
Proceso 12,8,2015,16254937,24314271
Proceso 12,9,2015,18037499,27641766
Proceso 12,10,2015,17347536,24479935
Proceso 12,11,2015,32103800,15975607
Proceso 12,12,2015,62908455,75301107
Proceso 13,1,2015,1353337,18773861
Proceso 13,2,2015,20888013,41899601
Proceso 13,3,2015,13251503,42408420
Proceso 13,4,2015,38917045,52282228
Proceso 13,5,2015,72001849,82852152
Proceso 13,6,2015,47072449,40586868
Proceso 13,7,2015,33512211,40408316
Proceso 13,8,2015,43795909,84681700
Proceso 13,9,2015,23915359,60022421
Proceso 13,10,2015,28053362,43098090
Proceso 13,11,2015,46964286,43501473
Proceso 13,12,2015,67435211,112110302
Proceso 14,1,2015,410568,668378
Proceso 14,2,2015,3836496,5585928
Proceso 14,3,2015,6821793,7044050
Proceso 14,4,2015,1850930,4138225
Proceso 14,5,2015,1597483,2600596
Proceso 14,6,2015,8807316,10704562
Proceso 14,7,2015,1081085,3597526
Proceso 14,8,2015,3370380,12489384
Proceso 14,9,2015,7602940,9819889
Proceso 14,10,2015,3266599,3733314
Proceso 14,11,2015,1196050,4769389
Proceso 14,12,2015,10483148,16777049
Proceso 16,2,2015,98894,135732
Proceso 16,8,2015,25419,34888
Proceso 16,9,2015,69495,95382
Proceso 17,1,2015,258481,42229
Proceso 17,3,2015,35114,280352
Proceso 17,5,2015,387768,70350
Proceso 17,6,2015,220349,252045
Proceso 17,7,2015,181696,73214
Proceso 17,8,2015,889374,1080672
Proceso 17,9,2015,583600,907734
Proceso 17,11,2015,151235,80382
Proceso 17,12,2015,174653,509727
